epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,355.447,1.49124,0.74782,0.94355,0.90828,0.00032967,0.00032967,0.0673626
2,692.945,0.65022,0.81597,0.97774,0.60517,0.000662842,0.000662842,0.0343625
3,1031.06,0.45589,0.86485,0.98646,0.4657,0.000995364,0.000995364,0.00136166
4,1361.57,0.38901,0.81046,0.9743,0.81209,0.000997803,0.000997803,0.000997803
5,1694.23,0.3008,0.86324,0.98738,0.46377,0.000996097,0.000996097,0.000996097
6,2031.43,0.26842,0.8777,0.97797,0.52704,0.000993906,0.000993906,0.000993906
7,2368.09,0.27014,0.89032,0.9922,0.47218,0.000991232,0.000991232,0.000991232
8,2710.24,0.21687,0.90064,0.99358,0.33126,0.000988079,0.000988079,0.000988079
9,3045.59,0.21526,0.86095,0.98554,0.4936,0.000984449,0.000984449,0.000984449
10,3426.53,0.19728,0.8497,0.97659,0.67184,0.000980345,0.000980345,0.000980345
11,3804.8,0.19195,0.91877,0.99472,0.27799,0.000975773,0.000975773,0.000975773
12,4135.47,0.19148,0.91808,0.99541,0.27677,0.000970736,0.000970736,0.000970736
13,4479.6,0.16978,0.90982,0.99541,0.29183,0.000965239,0.000965239,0.000965239
14,4816.28,0.16971,0.90615,0.99403,0.30821,0.000959289,0.000959289,0.000959289
15,5194.67,0.15942,0.89766,0.99289,0.38681,0.000952889,0.000952889,0.000952889
16,5526.06,0.15613,0.91028,0.99587,0.31637,0.000946048,0.000946048,0.000946048
17,5851.95,0.153,0.91739,0.99495,0.28795,0.000938772,0.000938772,0.000938772
18,6187.11,0.14225,0.92359,0.99564,0.27319,0.000931067,0.000931067,0.000931067
19,6524.25,0.12805,0.89399,0.98417,0.43118,0.000922942,0.000922942,0.000922942
20,6864.33,0.13936,0.93162,0.9961,0.24627,0.000914405,0.000914405,0.000914405
21,7224.35,0.12796,0.91349,0.99312,0.37262,0.000905463,0.000905463,0.000905463
22,7586.87,0.13754,0.9268,0.99449,0.30828,0.000896127,0.000896127,0.000896127
23,7963.78,0.11415,0.9291,0.99495,0.27569,0.000886404,0.000886404,0.000886404
24,8321.94,0.11261,0.9252,0.99587,0.29424,0.000876305,0.000876305,0.000876305
25,8700.59,0.10005,0.90982,0.98853,0.44683,0.000865839,0.000865839,0.000865839
26,9058.52,0.11512,0.92726,0.99564,0.29489,0.000855018,0.000855018,0.000855018
27,9432.07,0.11035,0.92542,0.99587,0.28522,0.000843851,0.000843851,0.000843851
28,9809.95,0.11075,0.93414,0.99449,0.28568,0.000832349,0.000832349,0.000832349
29,10147.4,0.09765,0.93621,0.99541,0.25164,0.000820525,0.000820525,0.000820525
30,10486.9,0.09012,0.92841,0.99518,0.29283,0.000808389,0.000808389,0.000808389
31,10839.5,0.10033,0.91441,0.99312,0.31284,0.000795954,0.000795954,0.000795954
32,11178.5,0.09193,0.93644,0.99587,0.23247,0.000783231,0.000783231,0.000783231
33,11519.4,0.09025,0.92657,0.99541,0.29102,0.000770234,0.000770234,0.000770234
34,11888,0.10486,0.92565,0.99289,0.32703,0.000756976,0.000756976,0.000756976
35,12229.1,0.08247,0.93942,0.99564,0.2617,0.000743468,0.000743468,0.000743468
36,12568.5,0.07905,0.93552,0.99472,0.26111,0.000729725,0.000729725,0.000729725
37,12905.8,0.07729,0.9408,0.99449,0.26542,0.000715761,0.000715761,0.000715761
38,13266.7,0.08597,0.93483,0.9961,0.26623,0.000701588,0.000701588,0.000701588
39,13607,0.08338,0.93208,0.99472,0.27579,0.000687222,0.000687222,0.000687222
40,13946.9,0.08143,0.93575,0.99403,0.29773,0.000672675,0.000672675,0.000672675
41,14297.5,0.07447,0.94263,0.99587,0.27117,0.000657963,0.000657963,0.000657963
42,14677,0.06848,0.94263,0.99541,0.26164,0.000643101,0.000643101,0.000643101
43,15049.7,0.07711,0.9408,0.99587,0.25395,0.000628101,0.000628101,0.000628101
44,15417.9,0.07869,0.92978,0.99541,0.29618,0.000612981,0.000612981,0.000612981
45,15800.1,0.06562,0.94768,0.99702,0.25831,0.000597754,0.000597754,0.000597754
46,16148.5,0.06883,0.94172,0.99587,0.26332,0.000582435,0.000582435,0.000582435
47,16517.7,0.06124,0.94218,0.99541,0.26258,0.00056704,0.00056704,0.00056704
48,16849.9,0.06342,0.93759,0.99426,0.30624,0.000551584,0.000551584,0.000551584
49,17189.1,0.05889,0.94447,0.99541,0.26685,0.000536081,0.000536081,0.000536081
50,17566.7,0.05842,0.94585,0.99518,0.28228,0.000520548,0.000520548,0.000520548
51,17912.5,0.05976,0.95089,0.99679,0.25547,0.000505,0.000505,0.000505
52,18292.5,0.05664,0.9525,0.99587,0.25677,0.000489452,0.000489452,0.000489452
53,18668.1,0.06232,0.92244,0.99174,0.41433,0.000473919,0.000473919,0.000473919
54,19049.2,0.06176,0.9525,0.99587,0.24622,0.000458416,0.000458416,0.000458416
55,19391.9,0.05753,0.94608,0.99679,0.24797,0.00044296,0.00044296,0.00044296
56,19733.4,0.05104,0.95067,0.9961,0.26062,0.000427565,0.000427565,0.000427565
57,20073.8,0.04827,0.94493,0.99679,0.25208,0.000412246,0.000412246,0.000412246
58,20418.3,0.04732,0.94493,0.99587,0.27095,0.000397019,0.000397019,0.000397019
59,20808.1,0.05205,0.95044,0.9961,0.26163,0.000381899,0.000381899,0.000381899
60,21148.3,0.04943,0.95089,0.99518,0.25738,0.000366899,0.000366899,0.000366899
61,21489.2,0.04126,0.94699,0.99633,0.26704,0.000352037,0.000352037,0.000352037
