epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.94,1.18404,4.16714,0.01336,0.19449,0.04102,0.02154,0.01202,1.39502,4.93311,0.02725,0.000123438,0.000123438,0.0754359
2,319.826,1.08573,1.91287,0.01237,0.59963,0.29405,0.39565,0.27016,1.17277,2.21272,0.01987,0.000248377,0.000248377,0.0505609
3,455.997,1.01411,1.51905,0.0119,0.59682,0.50551,0.55184,0.39287,1.11776,1.42708,0.02074,0.000373073,0.000373073,0.0256856
4,592.363,0.95688,1.269,0.01111,0.64409,0.59592,0.62924,0.46838,1.0333,1.17811,0.01775,0.000497343,0.000497343,0.000809843
5,727.802,0.93861,1.13315,0.01136,0.68951,0.60202,0.66422,0.4956,1.00243,1.14831,0.01724,0.000498048,0.000498048,0.000498048
6,862.98,0.92724,1.05837,0.01122,0.70983,0.62908,0.69398,0.51823,1.01924,1.11964,0.01742,0.000496953,0.000496953,0.000496953
7,998.427,0.90506,0.98634,0.01077,0.71852,0.62516,0.69282,0.52371,0.99621,1.00637,0.01742,0.000495616,0.000495616,0.000495616
8,1135.65,0.89767,0.94786,0.011,0.74807,0.67303,0.73799,0.56684,0.96088,0.93507,0.01613,0.000494039,0.000494039,0.000494039
9,1272.55,0.87999,0.89931,0.0104,0.76946,0.69154,0.75507,0.5811,0.95835,0.90749,0.01621,0.000492224,0.000492224,0.000492224
10,1407.46,0.86922,0.8621,0.01024,0.78268,0.68467,0.7705,0.59294,0.94164,0.898,0.01521,0.000490173,0.000490173,0.000490173
11,1546.19,0.85674,0.81744,0.01022,0.78112,0.6865,0.76275,0.58438,0.9707,0.9024,0.01641,0.000487886,0.000487886,0.000487886
12,1683.65,0.85148,0.79509,0.01005,0.77133,0.67558,0.75768,0.58508,0.95146,0.87859,0.0159,0.000485368,0.000485368,0.000485368
13,1819.95,0.84287,0.77315,0.00998,0.80677,0.71884,0.78849,0.60362,0.93548,0.83542,0.01593,0.00048262,0.00048262,0.00048262
14,1955.96,0.82708,0.75534,0.00991,0.78912,0.73413,0.79608,0.62051,0.92226,0.82542,0.01512,0.000479644,0.000479644,0.000479644
15,2093.43,0.83434,0.74512,0.00981,0.83523,0.71643,0.81141,0.63677,0.9085,0.78874,0.01482,0.000476445,0.000476445,0.000476445
16,2232.47,0.82122,0.72437,0.00941,0.82053,0.71102,0.80689,0.63052,0.9049,0.8113,0.01472,0.000473024,0.000473024,0.000473024
17,2370.73,0.82541,0.68793,0.00968,0.81124,0.75311,0.81974,0.64991,0.89929,0.75525,0.015,0.000469386,0.000469386,0.000469386
18,2508.42,0.79293,0.67628,0.00933,0.78416,0.73914,0.79835,0.62988,0.90842,0.79792,0.01498,0.000465534,0.000465534,0.000465534
19,2644.9,0.79828,0.66896,0.00947,0.83236,0.74408,0.82116,0.6519,0.88696,0.76519,0.0146,0.000461471,0.000461471,0.000461471
20,2782.93,0.81074,0.65715,0.00958,0.80305,0.75871,0.82695,0.64839,0.89405,0.72033,0.01496,0.000457202,0.000457202,0.000457202
21,2919.78,0.80528,0.68148,0.00922,0.81727,0.74929,0.82784,0.65722,0.87892,0.73527,0.01418,0.000452732,0.000452732,0.000452732
22,3057.76,0.7853,0.6411,0.00891,0.82339,0.75696,0.82831,0.65741,0.88894,0.69922,0.01469,0.000448063,0.000448063,0.000448063
23,3196.36,0.78745,0.62215,0.00913,0.83041,0.73275,0.82667,0.65041,0.89863,0.72352,0.01502,0.000443202,0.000443202,0.000443202
24,3336.9,0.7919,0.60998,0.00918,0.80933,0.75751,0.82143,0.65715,0.87694,0.72227,0.01427,0.000438152,0.000438152,0.000438152
25,3473.22,0.76655,0.60702,0.00875,0.84633,0.75581,0.84625,0.68037,0.85982,0.6789,0.01375,0.00043292,0.00043292,0.00043292
26,3610.84,0.77717,0.60313,0.00895,0.81335,0.75161,0.81911,0.65579,0.88348,0.75393,0.01425,0.000427509,0.000427509,0.000427509
27,3747.98,0.76393,0.58357,0.00884,0.80138,0.7604,0.83143,0.67319,0.86244,0.71748,0.01383,0.000421925,0.000421925,0.000421925
28,3886.16,0.76861,0.58813,0.00903,0.79945,0.77604,0.83711,0.67035,0.87414,0.66621,0.0142,0.000416175,0.000416175,0.000416175
29,4021.79,0.7591,0.58363,0.00867,0.84675,0.75671,0.83829,0.66627,0.86947,0.67043,0.01433,0.000410262,0.000410262,0.000410262
30,4157.72,0.74884,0.56009,0.00836,0.85726,0.76626,0.84464,0.68308,0.86035,0.68694,0.01373,0.000404194,0.000404194,0.000404194
31,4295.68,0.7485,0.55195,0.00857,0.84344,0.77122,0.84827,0.68506,0.86774,0.66456,0.014,0.000397977,0.000397977,0.000397977
32,4432.99,0.74711,0.54587,0.00867,0.84258,0.74565,0.83077,0.67108,0.84936,0.7097,0.01411,0.000391616,0.000391616,0.000391616
33,4571.64,0.73929,0.54312,0.00842,0.81853,0.77378,0.84226,0.68007,0.84732,0.69037,0.0136,0.000385117,0.000385117,0.000385117
34,4709.17,0.73153,0.53086,0.00834,0.84287,0.77363,0.8467,0.68545,0.83196,0.65851,0.01319,0.000378488,0.000378488,0.000378488
35,4846.44,0.73545,0.52677,0.00854,0.81691,0.77899,0.83245,0.67185,0.84882,0.67674,0.01363,0.000371734,0.000371734,0.000371734
36,4983.01,0.72589,0.52429,0.0083,0.86433,0.75242,0.84083,0.67846,0.83037,0.67991,0.01321,0.000364863,0.000364863,0.000364863
37,5120.35,0.71728,0.51983,0.00834,0.84329,0.76923,0.83668,0.68162,0.83056,0.67385,0.01349,0.00035788,0.00035788,0.00035788
38,5259.74,0.72529,0.50558,0.00835,0.83146,0.77211,0.84267,0.67935,0.85478,0.68538,0.01414,0.000350794,0.000350794,0.000350794
39,5396.7,0.71684,0.51236,0.00825,0.85608,0.73889,0.83568,0.67987,0.83936,0.69021,0.01352,0.000343611,0.000343611,0.000343611
40,5536.17,0.70222,0.50226,0.008,0.86663,0.76533,0.84981,0.68681,0.83243,0.64468,0.01331,0.000336338,0.000336338,0.000336338
41,5676.44,0.71887,0.49427,0.008,0.84627,0.7712,0.84927,0.69648,0.80752,0.65382,0.01276,0.000328982,0.000328982,0.000328982
42,5812.16,0.70356,0.48338,0.00802,0.86833,0.77026,0.85128,0.69285,0.82528,0.62121,0.01309,0.00032155,0.00032155,0.00032155
43,5948.5,0.69756,0.48168,0.00782,0.84031,0.7765,0.84198,0.68536,0.82798,0.65394,0.01313,0.000314051,0.000314051,0.000314051
44,6086.87,0.70591,0.48778,0.00783,0.86029,0.77723,0.8565,0.69905,0.81998,0.64599,0.01312,0.00030649,0.00030649,0.00030649
45,6224.91,0.68987,0.47699,0.0076,0.83226,0.7806,0.84395,0.68923,0.8081,0.65635,0.01283,0.000298877,0.000298877,0.000298877
46,6361.44,0.69238,0.47242,0.00782,0.85854,0.75932,0.84234,0.68982,0.80389,0.69025,0.01267,0.000291218,0.000291218,0.000291218
47,6499.39,0.68712,0.46563,0.00764,0.86222,0.75152,0.84657,0.69342,0.8098,0.64458,0.01286,0.00028352,0.00028352,0.00028352
48,6636.67,0.68811,0.4632,0.00748,0.8318,0.78838,0.84384,0.6955,0.80529,0.64433,0.01272,0.000275792,0.000275792,0.000275792
49,6773.02,0.67156,0.4413,0.0076,0.82746,0.79351,0.85385,0.70419,0.79303,0.61178,0.0125,0.000268041,0.000268041,0.000268041
50,6909.42,0.6737,0.44691,0.00764,0.84206,0.77606,0.85019,0.69928,0.79879,0.6246,0.01261,0.000260274,0.000260274,0.000260274
51,7045.79,0.67447,0.44213,0.00758,0.86105,0.78709,0.85822,0.703,0.79582,0.63104,0.01248,0.0002525,0.0002525,0.0002525
52,7183.3,0.66126,0.43532,0.00739,0.83531,0.77913,0.84932,0.70011,0.79642,0.62277,0.0125,0.000244726,0.000244726,0.000244726
53,7320.97,0.67083,0.44549,0.00754,0.83893,0.79779,0.84815,0.70155,0.80637,0.63402,0.01276,0.000236959,0.000236959,0.000236959
